Account,Source Account,Text,Time,Compound Score,Positive Score,Negative Score,Neutral Score,Tweets Ago
BBC News (World),-,Slovenia election: Anti-immigrant SDS party leads - exit poll https://t.co/QCFVDlM4Hw,2018-06-03 13:11:52-05:00,0.4019,0.252,0.0,0.748,77
BBC News (World),-,Soyuz space capsule brings ISS crew back after five month mission https://t.co/KJydJK6Igo,2018-06-03 11:45:10-05:00,0.0,0.0,0.0,1.0,78
BBC News (World),-,"Trump 'could pardon himself over Russia but won't', says Giuliani https://t.co/ZGtVUwqhSl",2018-06-03 11:25:39-05:00,0.1655,0.142,0.0,0.858,79
BBC News (World),-,Tunisia boat capsizes killing dozens of migrants https://t.co/sqaXVR8Hno,2018-06-03 10:36:34-05:00,-0.6597,0.0,0.386,0.614,80
BBC News (World),BBC Breaking News,"RT @BBCBreaking: A minute's silence falls across the UK as the victims of the #LondonBridge terror attack are remembered, one year on 

htt…",2018-06-03 10:33:34-05:00,-0.8316,0.0,0.317,0.683,81
BBC News (World),-,'Shooting incident' at Berlin Cathedral https://t.co/qnqbZA2NFw,2018-06-03 10:15:46-05:00,0.0,0.0,0.0,1.0,82
BBC News (World),-,Italy migrants: Matteo Salvini calls for end to Sicily 'refugee camp' https://t.co/6IvAL3iYkI,2018-06-03 09:14:09-05:00,0.0,0.0,0.0,1.0,83
BBC News (World),-,Nigeria: Dozens killed by cattle thieves in Zamfara state https://t.co/MJ3VYheo4n,2018-06-03 08:06:34-05:00,-0.8316,0.0,0.494,0.506,84
BBC News (World),-,Syria's President Assad 'to visit North Korea' https://t.co/3nXJeObtwf,2018-06-03 08:04:19-05:00,0.0,0.0,0.0,1.0,85
BBC News (World),-,"""If you have 80 plastic bags in your stomach, you die"", said one marine biologist 

https://t.co/YM9rZn3Up6",2018-06-03 07:26:35-05:00,0.0,0.0,0.0,1.0,86
BBC News (World),-,Tanzanian conjoined twins Maria and Consolata die aged 22 https://t.co/rjRH1yo9b8,2018-06-03 06:34:56-05:00,-0.5994,0.0,0.302,0.698,87
BBC News (World),BBC News (UK),"RT @BBCNews: #LondonBridge: Spanish hero's dad pays tribute to son, who lost his life taking on attackers 

https://t.co/fSp0LYnQr7 https:/…",2018-06-03 06:13:29-05:00,-0.7184,0.0,0.261,0.739,88
BBC News (World),-,China warns US sanctions will void trade talks https://t.co/phUY7BngHb,2018-06-03 04:30:13-05:00,-0.1027,0.0,0.149,0.851,89
BBC News (World),BBC Business,RT @BBCBusiness: Jordanians in third night of tax rise protests https://t.co/WDGsu69AkZ,2018-06-03 03:01:27-05:00,-0.2263,0.0,0.16,0.84,90
BBC News (World),-,Crafty crayfish removes own claw to escape China hotpot https://t.co/769fJGA0OA,2018-06-03 02:29:52-05:00,0.1779,0.159,0.0,0.841,91
BBC News (World),-,Yosemite El Capitan: Two climbers fall to death https://t.co/RFQRT04NeJ,2018-06-03 01:45:51-05:00,-0.5994,0.0,0.328,0.672,92
BBC News (World),-,How I found my biological mother https://t.co/OaqSV3giXa,2018-06-03 00:44:02-05:00,0.0,0.0,0.0,1.0,93
BBC News (World),-,Venezuela frees 40 jailed activists and politicians https://t.co/FUzDavdvlV,2018-06-02 22:53:20-05:00,-0.25,0.193,0.281,0.526,94
BBC News (World),-,PC Sorcar: India's 'maharajah of magic' who terrified the UK https://t.co/u7PAOQquYW,2018-06-02 20:50:16-05:00,-0.6124,0.0,0.286,0.714,95
BBC News (World),-,Nicaragua police end church siege after day of terror in Masaya https://t.co/Ny6PmB4y2W,2018-06-02 19:56:42-05:00,-0.5267,0.0,0.236,0.764,96
BBC News (World),-,The secrets of a diary written on castle floorboards https://t.co/EJ0JZlSDtd,2018-06-02 19:28:20-05:00,0.0,0.0,0.0,1.0,97
BBC News (World),-,North Korea’s human rights: What Trump and Kim won't talk about https://t.co/GKRaISuNPa,2018-06-02 19:28:20-05:00,0.0,0.0,0.0,1.0,98
BBC News (World),-,Tomorrow's Cities: How Barcelona shushed noise-makers with sensors https://t.co/GxxzTaFPHU,2018-06-02 19:28:20-05:00,0.0,0.0,0.0,1.0,99
BBC News (World),-,Jordanians in third night of tax rise protests https://t.co/BMSkk2cuLD,2018-06-02 18:48:57-05:00,-0.2263,0.0,0.192,0.808,100
CBS News,-,Societe Generale plead guilty to charges including bribery and interest rate manipulation. Fines imposed in the U.S… https://t.co/IdJMptICEh,2018-06-04 21:29:31-05:00,-0.5267,0.123,0.344,0.533,1
